Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Buenos Aires,ZARATE,1,131,131415
Buenos Aires,SAN FERNANDO,7,166,171099
Buenos Aires,TRENQUE LAUQUEN,2,103,49128
Buenos Aires,BOLIVAR,4,84,37194
Buenos Aires,PERGAMINO,4,153,114988
Buenos Aires,LOMAS DE ZAMORA,12,539,685644
Buenos Aires,AVELLANEDA,15,297,366117
Buenos Aires,SALTO,2,56,39257
Buenos Aires,MERLO,4,356,581484
Buenos Aires,GENERAL RODRIGUEZ,1,104,142315
Buenos Aires,LAS FLORES,1,65,27136
Buenos Aires,VILLA GESELL,2,35,37325
Córdoba,RIO PRIMERO,3,136,58181
Córdoba,SAN JUSTO,20,355,228951
Córdoba,RIO CUARTO,16,334,277979
Córdoba,RIO SECO,1,61,15275
Corrientes,LAVALLE,1,76,40406
Corrientes,SAUCE,1,33,10382
Chaco,2 DE ABRIL,1,23,8310
Chaco,MAYOR LUIS J FONTANA,3,81,59798
Chaco,GENERAL DONOVAN,2,37,15061
Chaco,SARGENTO CABRAL,3,35,18696
Chubut,ESCALANTE,7,181,214829
Jujuy,COCHINOCA,3,27,14998
La Pampa,REALICO,8,30,17356
La Pampa,MARACO,6,64,69067
La Pampa,UTRACAN,5,32,17686
La Rioja,LA RIOJA CAPITAL,6,184,210507
La Rioja,SANAGASTA,1,3,2994
Mendoza,LAS HERAS,6,139,233839
Neuquén,COLLON CURA,1,6,4832
Neuquén,CATAN LIL,1,7,2641
Neuquén,HUILICHES,1,18,20853
Salta,ROSARIO DE LA FRONTERA,2,43,33750
Salta,GENERAL JOSE DE SAN MARTIN,5,114,177448
San Juan,CHIMBAS,2,66,103772
San Juan,ZONDA,1,6,6674
Santa Cruz,LAGO ARGENTINO,1,20,25384
Santa Cruz,LAGO BUENOS AIRES,1,10,12584
Santa Fe,CASEROS,10,88,86261
Santa Fe,VERA,8,139,55463
Santiago del Estero,COPO,2,103,35653
Santiago del Estero,JIMENEZ,1,73,18622
Santiago del Estero,LORETO,1,85,24047
Tucumán,YERBA BUENA,1,66,102589
