Provincia,departamento,Jardines,Poblacion Jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria,poblacion_total
Chaco,9 DE JULIO,26.0,2987,44.0,3572,10.0,3053,30223
Chaco,MAYOR LUIS J FONTANA,37.0,5880,43.0,7600,15.0,5872,59798
Chubut,SARMIENTO,11.0,1344,8.0,1995,4.0,1510,14477
Chubut,PASO DE INDIOS,3.0,137,3.0,191,3.0,147,1882
Entre Ríos,FEDERAL,53.0,2629,56.0,3327,13.0,2784,29436
Entre Ríos,VICTORIA,50.0,3123,46.0,4259,28.0,3629,40301
Entre Ríos,URUGUAY,93.0,8632,96.0,12543,42.0,10989,115516
Jujuy,LEDESMA,30.0,8147,24.0,11518,16.0,9498,94132
La Pampa,QUEMU QUEMU,5.0,600,7.0,825,5.0,807,8404
La Pampa,CATRILO,5.0,648,6.0,1019,4.0,794,8225
La Pampa,PUELEN,8.0,1095,8.0,1576,6.0,1178,11636
La Rioja,INDEPENDENCIA,8.0,209,10.0,291,8.0,257,2399
Mendoza,MENDOZA CAPITAL,80.0,8283,62.0,11563,58.0,9394,123715
Mendoza,GODOY CRUZ,92.0,13392,67.0,19838,30.0,16701,194557
Mendoza,LAS HERAS,81.0,19700,54.0,28992,27.0,23685,233839
Mendoza,SAN MARTIN,82.0,11642,62.0,17257,23.0,13262,139406
Neuquén,ZAPALA,26.0,3426,27.0,5480,5.0,4533,45540
Neuquén,LONCOPUE,1.0,675,5.0,927,1.0,729,7696
Río Negro,EL CUY,6.0,545,7.0,901,8.0,675,6960
Río Negro,BARILOCHE,88.0,11266,69.0,17315,45.0,13885,161443
Río Negro,PICHI MAHUIDA,9.0,1344,10.0,1943,3.0,1439,16493
Río Negro,SAN ANTONIO,18.0,2730,15.0,4166,8.0,3416,35473
Salta,ROSARIO DE LA FRONTERA,34.0,2966,32.0,4146,7.0,3302,33750
Salta,GENERAL GUEMES,32.0,4858,27.0,6917,8.0,5526,55746
Salta,SANTA VICTORIA,18.0,909,20.0,1436,6.0,1218,9411
San Juan,RIVADAVIA,35.0,8399,35.0,11692,17.0,9610,101334
San Juan,ZONDA,2.0,679,2.0,881,2.0,729,6674
Santa Fe,GENERAL OBLIGADO,131.0,17202,155.0,22397,65.0,19095,197533
Santa Fe,CONSTITUCION,43.0,6793,45.0,9370,27.0,8501,93000
Santa Fe,SAN JERONIMO,57.0,6707,64.0,9086,24.0,7615,84617
Santiago del Estero,MORENO,46.0,4608,72.0,5635,24.0,5178,40352
Santiago del Estero,SANTIAGO DEL ESTERO CAPITAL,149.0,26352,112.0,37231,90.0,30377,328824
Santiago del Estero,GENERAL TABOADA,44.0,4772,52.0,6042,12.0,5394,46304
Santiago del Estero,ROBLES,46.0,5435,38.0,7173,21.0,5982,53879
Santiago del Estero,SARMIENTO,10.0,533,17.0,722,8.0,624,5034
Tucumán,GRANEROS,30.0,1434,29.0,1880,24.0,1613,15539
Tucumán,LEALES,72.0,5678,72.0,7892,50.0,6716,66352
Buenos Aires,LUJAN,69.0,8352,49.0,12341,37.0,10388,110111
